id,label
5995,0.97
2187,0.05
4738,0.05
6184,0.97
376,0.05
3201,0.97
2421,0.97
1634,0.05
1051,0.05
4632,0.97
2458,0.97
1706,0.97
1367,0.97
417,0.97
4413,0.97
9823,0.05
5976,0.97
381,0.97
4162,0.05
8011,0.97
10663,0.05
12167,0.97
6641,0.97
4184,0.05
11085,0.97
11872,0.05
11752,0.05
6012,0.97
10771,0.97
12362,0.97
8258,0.05
8431,0.05
8581,0.97
820,0.05
4102,0.97
10244,0.97
6254,0.05
11092,0.05
8986,0.97
6401,0.05
6721,0.05
4125,0.05
7698,0.97
8196,0.97
3058,0.97
6833,0.97
2602,0.05
3124,0.97
1927,0.05
713,0.97
5170,0.97
2934,0.97
646,0.05
11544,0.97
4897,0.05
4898,0.05
7739,0.05
1809,0.05
5252,0.97
537,0.97
8577,0.05
5618,0.97
7619,0.05
9490,0.97
6978,0.97
4287,0.97
3990,0.05
10963,0.05
5893,0.05
9623,0.05
9795,0.05
9619,0.97
9003,0.05
584,0.97
11548,0.05
10208,0.05
5009,0.97
8681,0.97
191,0.97
9308,0.97
10677,0.97
6646,0.05
6786,0.05
11462,0.97
4903,0.05
12117,0.97
8904,0.97
9420,0.97
10583,0.05
4063,0.05
9081,0.05
8972,0.97
11423,0.05
2799,0.05
888,0.97
3056,0.97
73,0.05
359,0.97
4603,0.05
3576,0.97
9624,0.97
340,0.05
7984,0.97
797,0.05
1941,0.97
5857,0.05
540,0.97
2318,0.97
2805,0.05
1937,0.97
6947,0.05
5109,0.05
1896,0.05
7548,0.05
585,0.05
6117,0.97
904,0.05
4924,0.97
11373,0.97
11711,0.97
1861,0.05
7688,0.97
9288,0.97
4726,0.97
7434,0.05
4507,0.05
1884,0.05
6575,0.05
5315,0.05
222,0.97
5362,0.05
9165,0.97
10714,0.97
6045,0.05
2774,0.97
4431,0.97
8923,0.97
10797,0.97
8852,0.97
10350,0.05
3448,0.97
7788,0.97
507,0.05
1196,0.97
7643,0.97
4037,0.05
6391,0.97
5165,0.97
11596,0.97
8380,0.05
818,0.05
2132,0.05
1359,0.97
9405,0.05
4694,0.97
10112,0.05
9938,0.05
11879,0.97
2633,0.05
6616,0.97
85,0.97
6814,0.05
3366,0.97
3935,0.97
7062,0.97
5392,0.05
5974,0.97
3084,0.05
7003,0.97
4220,0.05
7084,0.05
10126,0.05
2229,0.97
7037,0.97
5635,0.97
2572,0.05
7939,0.05
11600,0.97
7713,0.05
11599,0.05
11489,0.97
5727,0.97
1935,0.05
3133,0.05
3738,0.97
1571,0.05
1570,0.97
10449,0.97
2910,0.97
8370,0.05
2966,0.05
11728,0.97
5559,0.97
11506,0.05
10435,0.97
6696,0.97
627,0.97
10360,0.97
8829,0.05
2522,0.05
5952,0.05
720,0.05
10718,0.97
886,0.05
4851,0.97
10110,0.97
8539,0.97
10841,0.05
6275,0.97
473,0.05
3053,0.97
7596,0.97
8206,0.97
10801,0.05
4550,0.05
4199,0.05
1853,0.97
5353,0.97
7504,0.05
3010,0.05
2150,0.97
179,0.05
5735,0.97
10190,0.05
8156,0.05
10789,0.97
2305,0.97
5499,0.97
8786,0.97
6334,0.97
7038,0.97
6018,0.05
7469,0.97
56,0.97
8810,0.05
3451,0.97
1735,0.97
4744,0.97
324,0.97
5512,0.05
8950,0.97
2861,0.05
9571,0.05
11504,0.97
7135,0.97
1070,0.97
12282,0.97
4622,0.97
189,0.05
8816,0.97
6805,0.97
4294,0.97
11702,0.05
9689,0.97
11464,0.05
1177,0.05
4036,0.97
9120,0.97
3982,0.97
11388,0.05
9723,0.97
6403,0.97
10075,0.97
7502,0.05
4727,0.97
11357,0.97
4839,0.97
6836,0.05
3742,0.05
2100,0.05
5812,0.05
4027,0.05
220,0.05
3351,0.05
5196,0.97
7141,0.05
966,0.97
7282,0.97
6766,0.97
2600,0.97
7068,0.97
2915,0.97
12477,0.97
1830,0.97
9472,0.05
8913,0.97
357,0.97
10140,0.05
1308,0.05
4807,0.05
4009,0.97
7465,0.97
7472,0.05
10219,0.97
2066,0.97
7932,0.05
10415,0.05
1164,0.97
6248,0.97
2873,0.97
564,0.97
10203,0.97
2531,0.05
4305,0.97
804,0.97
318,0.05
5620,0.97
7232,0.05
6804,0.05
7554,0.05
9780,0.05
11712,0.97
1628,0.97
8628,0.97
5489,0.97
793,0.97
6618,0.05
2809,0.05
8509,0.97
6419,0.97
1677,0.05
5794,0.97
6943,0.05
1488,0.05
6676,0.97
3591,0.97
8675,0.05
4065,0.05
7230,0.05
4403,0.05
2508,0.97
7008,0.05
11576,0.05
12419,0.05
4917,0.05
8165,0.97
6907,0.97
6002,0.97
2367,0.97
12335,0.05
8726,0.05
4116,0.97
5118,0.97
6521,0.97
5827,0.97
6073,0.97
11454,0.05
7426,0.05
6031,0.05
11197,0.05
11358,0.05
7757,0.05
11048,0.97
11689,0.97
4498,0.05
9038,0.05
7890,0.05
1295,0.97
1541,0.97
5765,0.97
1085,0.05
6817,0.05
1054,0.05
9057,0.97
8044,0.97
771,0.05
903,0.97
2853,0.97
11714,0.97
12101,0.97
1598,0.97
6608,0.05
5549,0.05
11134,0.97
3600,0.97
4877,0.97
10542,0.97
3014,0.05
2504,0.97
9269,0.97
5261,0.05
8854,0.97
11758,0.97
7045,0.97
10669,0.97
1105,0.97
8337,0.05
10225,0.05
2295,0.05
8275,0.97
8783,0.05
4570,0.05
78,0.05
10009,0.05
3639,0.05
1055,0.05
4687,0.05
4867,0.97
393,0.05
12403,0.05
7445,0.97
1128,0.97
10115,0.05
8150,0.05
6226,0.05
6424,0.05
11156,0.05
5367,0.05
11762,0.05
451,0.97
424,0.97
10731,0.05
9589,0.97
5879,0.05
965,0.05
3779,0.97
5829,0.97
4714,0.97
11845,0.97
7728,0.97
8955,0.97
6238,0.05
780,0.05
74,0.97
9348,0.05
8661,0.05
5623,0.05
7844,0.97
8020,0.05
9466,0.05
1296,0.05
9389,0.97
3034,0.97
788,0.97
7737,0.97
3792,0.97
11936,0.97
4028,0.05
2144,0.97
5650,0.97
536,0.97
10166,0.97
10482,0.05
11173,0.97
11932,0.05
4304,0.97
9207,0.05
5152,0.97
5428,0.97
1208,0.97
12045,0.05
2033,0.97
7735,0.97
10252,0.97
98,0.97
303,0.97
1086,0.05
3182,0.97
2058,0.05
3582,0.97
2184,0.97
6893,0.05
11753,0.05
5227,0.97
11880,0.97
9173,0.97
8507,0.97
4586,0.05
2882,0.05
9029,0.05
4246,0.97
11119,0.97
5916,0.05
2794,0.97
6827,0.05
10230,0.97
6855,0.05
5401,0.97
11534,0.97
9168,0.05
4587,0.97
7145,0.97
7866,0.05
4350,0.05
9766,0.05
5868,0.97
9377,0.97
6220,0.97
7940,0.05
6414,0.05
11294,0.97
4145,0.97
781,0.05
6709,0.05
12339,0.05
7668,0.97
397,0.97
10713,0.05
1347,0.05
9347,0.97
6902,0.97
4121,0.97
2400,0.97
1955,0.05
9193,0.97
2238,0.97
2559,0.97
983,0.05
7299,0.05
12486,0.97
8178,0.97
5745,0.05
4777,0.97
592,0.97
1186,0.05
8842,0.05
7176,0.97
4025,0.05
11763,0.05
9139,0.97
475,0.97
9709,0.05
2582,0.05
2523,0.05
11172,0.05
5317,0.97
2973,0.97
9592,0.05
4210,0.97
5949,0.97
4644,0.97
3952,0.05
2962,0.05
474,0.05
4962,0.97
4033,0.05
8815,0.05
11127,0.97
8467,0.05
11746,0.05
589,0.97
3881,0.97
9041,0.97
6266,0.97
5034,0.97
10952,0.97
12078,0.05
38,0.05
6742,0.05
8014,0.97
2143,0.05
739,0.05
2170,0.97
159,0.05
7506,0.97
11917,0.05
4311,0.05
1323,0.05
3199,0.05
4533,0.97
10711,0.97
10728,0.05
6170,0.05
1749,0.05
3328,0.97
3443,0.05
2356,0.97
8333,0.05
5538,0.05
10380,0.05
7051,0.05
3773,0.97
4443,0.97
4691,0.05
7541,0.05
11916,0.05
4479,0.05
5706,0.05
2259,0.97
3209,0.97
2837,0.97
5972,0.05
10351,0.97
8728,0.05
3262,0.05
6912,0.05
7105,0.97
10258,0.05
805,0.05
7311,0.05
6360,0.97
11351,0.97
4278,0.97
32,0.97
2202,0.05
6207,0.05
12023,0.97
660,0.05
12114,0.05
875,0.97
8858,0.05
8917,0.05
201,0.97
1743,0.05
10253,0.97
238,0.97
1593,0.05
10195,0.05
3583,0.05
6013,0.05
11256,0.97
3609,0.05
5575,0.05
4319,0.97
7157,0.05
7427,0.97
551,0.05
6717,0.97
1801,0.97
575,0.05
10671,0.05
3630,0.05
8521,0.97
2240,0.05
1293,0.97
652,0.05
11796,0.05
5792,0.97
3243,0.05
10378,0.97
12476,0.97
12278,0.97
8259,0.97
2878,0.97
7796,0.97
3129,0.05
1283,0.97
2013,0.05
5723,0.05
3999,0.05
4007,0.97
11310,0.05
8742,0.97
1148,0.97
10267,0.05
124,0.97
4778,0.05
7650,0.97
7364,0.97
2164,0.05
9894,0.05
10838,0.97
11184,0.97
5465,0.05
5023,0.05
2422,0.05
11182,0.05
3864,0.97
11183,0.97
3637,0.97
7403,0.97
10417,0.97
7185,0.05
8574,0.97
4657,0.05
6606,0.05
8541,0.05
7399,0.97
5574,0.05
7019,0.05
1947,0.97
8877,0.97
5157,0.97
10566,0.97
3459,0.05
7777,0.05
2330,0.05
10507,0.05
12358,0.05
3193,0.05
9163,0.97
6986,0.05
8863,0.97
1786,0.97
2255,0.05
12377,0.97
6909,0.97
12085,0.05
6440,0.05
1986,0.05
7996,0.97
4783,0.05
4053,0.97
4995,0.97
11918,0.97
4789,0.05
11878,0.97
3093,0.05
2416,0.97
9037,0.97
10973,0.97
12424,0.97
11130,0.05
9500,0.97
6550,0.05
3269,0.05
2373,0.97
6408,0.05
941,0.05
1880,0.97
4105,0.97
7031,0.97
6565,0.05
7741,0.97
10076,0.97
3804,0.97
10813,0.05
4010,0.97
8386,0.05
7719,0.97
5087,0.05
9635,0.97
8756,0.97
9265,0.05
1368,0.97
9577,0.05
9007,0.97
12241,0.97
957,0.97
6752,0.05
4192,0.97
5873,0.97
5516,0.05
9479,0.97
6765,0.97
7093,0.05
4235,0.97
9284,0.97
4132,0.05
9330,0.97
6075,0.97
10822,0.05
63,0.97
11510,0.05
1753,0.05
9141,0.05
8319,0.97
8522,0.05
6991,0.05
6926,0.97
9568,0.05
4770,0.97
6272,0.97
3552,0.97
7404,0.97
2246,0.97
7407,0.05
1599,0.05
1204,0.05
1101,0.05
806,0.05
8375,0.05
402,0.05
726,0.97
5037,0.97
9435,0.97
297,0.97
4937,0.05
822,0.97
4496,0.97
10152,0.97
6953,0.05
9552,0.05
9674,0.97
9586,0.05
5933,0.97
8173,0.05
4706,0.05
8646,0.05
716,0.05
2448,0.05
7863,0.05
7675,0.05
3466,0.05
8715,0.97
11115,0.05
2978,0.05
3603,0.05
10684,0.97
9113,0.97
940,0.05
5621,0.05
4448,0.05
5283,0.97
12154,0.05
9258,0.97
6715,0.97
1701,0.97
5885,0.97
7196,0.97
269,0.97
1606,0.97
4556,0.05
8645,0.97
3154,0.05
11549,0.05
2346,0.97
4326,0.05
7233,0.97
11512,0.97
4492,0.97
5116,0.97
2776,0.97
3477,0.05
8766,0.05
4436,0.97
1777,0.05
5736,0.05
4615,0.97
3869,0.97
3372,0.97
6372,0.97
9357,0.05
7657,0.97
8373,0.97
579,0.05
3211,0.97
3748,0.97
8762,0.97
8567,0.97
5390,0.05
7277,0.97
3764,0.05
6187,0.05
7190,0.97
8079,0.97
6596,0.05
9045,0.97
6175,0.05
10460,0.97
1154,0.05
11129,0.05
7270,0.97
5872,0.05
11410,0.97
2077,0.97
296,0.97
9962,0.05
10406,0.05
6365,0.05
7066,0.97
9184,0.05
6338,0.97
5681,0.97
9252,0.97
7725,0.05
1967,0.97
10768,0.05
856,0.97
3341,0.97
10209,0.05
1492,0.05
6096,0.97
2194,0.05
3692,0.97
10902,0.97
10309,0.97
5878,0.97
2662,0.97
10592,0.05
9294,0.97
8500,0.05
7121,0.05
12311,0.05
8528,0.97
2140,0.97
2398,0.05
7184,0.05
3099,0.05
10318,0.97
6532,0.05
6142,0.97
6622,0.05
5609,0.05
8702,0.97
11912,0.05
5316,0.97
12043,0.97
5864,0.05
6091,0.97
10369,0.05
3661,0.05
8925,0.05
9841,0.97
7670,0.05
11288,0.05
8514,0.05
5793,0.05
3248,0.05
11565,0.05
5803,0.97
30,0.05
10651,0.97
6610,0.05
4155,0.05
11452,0.05
240,0.05
6546,0.97
6861,0.05
12257,0.05
9356,0.05
12177,0.97
11993,0.97
4267,0.97
7568,0.05
1326,0.97
9939,0.05
3085,0.05
9526,0.97
1069,0.05
8219,0.05
1878,0.05
2324,0.97
99,0.05
7509,0.97
7814,0.97
7645,0.05
9875,0.05
10700,0.97
10598,0.97
9456,0.05
2030,0.05
8280,0.05
10918,0.97
9690,0.05
6380,0.05
9802,0.97
4234,0.97
3416,0.97
985,0.05
1121,0.97
3761,0.05
8658,0.05
10508,0.05
4653,0.05
2319,0.97
2316,0.05
9703,0.05
4916,0.97
9767,0.97
10511,0.05
2078,0.97
6809,0.97
8129,0.05
4043,0.97
5920,0.97
12455,0.05
12063,0.05
242,0.97
2390,0.97
7835,0.05
9618,0.05
5040,0.05
1794,0.97
6768,0.97
185,0.97
252,0.05
6602,0.05
202,0.97
4641,0.97
9630,0.05
11527,0.97
596,0.05
6858,0.97
2003,0.05
748,0.05
11192,0.05
6145,0.97
7986,0.97
12456,0.05
8056,0.05
808,0.97
10854,0.05
10535,0.97
7909,0.97
4327,0.97
1545,0.97
12201,0.05
5377,0.97
8797,0.97
8890,0.05
3455,0.97
3040,0.97
12240,0.05
4902,0.97
8037,0.05
6335,0.05
5319,0.97
12208,0.05
4191,0.05
5111,0.05
10413,0.97
9198,0.97
6201,0.97
4418,0.05
3777,0.05
5956,0.97
5302,0.97
9597,0.05
1271,0.05
11795,0.97
7116,0.05
2622,0.05
11973,0.05
9662,0.97
6490,0.05
1503,0.97
663,0.97
2362,0.05
5569,0.05
8748,0.97
9018,0.05
10859,0.05
2256,0.97
578,0.97
9653,0.05
12110,0.97
10926,0.97
6540,0.97
6656,0.05
9998,0.05
4290,0.05
2155,0.97
6185,0.97
8080,0.97
11093,0.97
12120,0.05
8666,0.97
2948,0.97
4014,0.05
3698,0.05
2992,0.05
12276,0.97
4767,0.05
557,0.97
10042,0.97
9042,0.97
7026,0.97
7682,0.05
10980,0.05
286,0.05
2715,0.97
4910,0.97
4746,0.97
11971,0.05
11655,0.97
1035,0.05
3068,0.05
1455,0.97
2379,0.05
3524,0.05
8573,0.97
5052,0.05
4904,0.05
7651,0.05
12286,0.05
8458,0.97
7119,0.05
3156,0.97
4038,0.05
1923,0.05
11144,0.05
9369,0.05
533,0.05
3235,0.05
7511,0.05
9931,0.05
5594,0.05
7528,0.97
8821,0.05
11440,0.05
11817,0.97
6065,0.05
12293,0.05
5848,0.97
5047,0.05
5008,0.05
7148,0.97
9064,0.05
8714,0.97
7762,0.05
10660,0.05
9668,0.05
1857,0.97
8524,0.97
9443,0.05
1773,0.97
34,0.97
95,0.97
6019,0.05
1546,0.05
4228,0.97
12131,0.97
4499,0.05
1330,0.97
10165,0.97
1328,0.97
5837,0.05
1989,0.05
9350,0.97
3535,0.05
3721,0.97
8751,0.97
3833,0.97
2510,0.05
3750,0.05
1928,0.05
12343,0.97
5964,0.97
11820,0.97
1724,0.97
8767,0.05
7495,0.05
4815,0.05
6089,0.97
8671,0.97
6678,0.05
10171,0.97
6004,0.05
3018,0.05
8619,0.05
10069,0.97
9914,0.97
2296,0.05
3403,0.05
5318,0.97
9659,0.97
6614,0.97
5897,0.97
167,0.05
8253,0.97
3979,0.97
5737,0.97
9283,0.97
10204,0.05
11403,0.05
5029,0.05
2917,0.05
409,0.05
5159,0.97
9048,0.05
1034,0.05
9949,0.05
3705,0.05
8422,0.05
4732,0.97
1518,0.97
6950,0.97
690,0.97
2169,0.05
5613,0.05
10869,0.05
2018,0.97
4948,0.97
8892,0.97
2265,0.05
3757,0.97
7904,0.05
10339,0.97
12189,0.05
9297,0.97
9510,0.97
8548,0.05
8817,0.97
8282,0.05
5405,0.97
6698,0.97
3261,0.05
1341,0.05
10425,0.05
3948,0.05
3604,0.97
9899,0.97
6325,0.97
7438,0.05
12342,0.97
1093,0.05
8793,0.05
3882,0.05
11360,0.05
9010,0.97
2765,0.05
2307,0.05
6653,0.05
11126,0.05
7782,0.05
7178,0.05
9604,0.05
1793,0.97
1721,0.05
7263,0.97
1905,0.97
6889,0.05
10210,0.97
610,0.05
8706,0.97
11713,0.97
1783,0.97
532,0.97
5449,0.05
9898,0.97
9397,0.05
10143,0.05
6349,0.97
5045,0.05
7392,0.05
9138,0.97
8840,0.97
2766,0.05
5731,0.97
1720,0.05
7592,0.05
3125,0.97
8444,0.05
11975,0.05
4153,0.97
8959,0.97
3424,0.97
7540,0.05
7090,0.05
5504,0.97
8961,0.97
5013,0.05
3959,0.97
1695,0.05
9772,0.05
12434,0.05
12258,0.05
6112,0.05
9352,0.05
11446,0.05
2614,0.05
7182,0.97
6297,0.97
3394,0.97
9019,0.97
4959,0.05
1095,0.05
9754,0.97
2869,0.05
3566,0.05
7345,0.97
489,0.05
8063,0.05
9542,0.97
3121,0.05
1258,0.05
2011,0.97
11535,0.97
2048,0.05
7260,0.05
587,0.05
5511,0.05
9221,0.05
10292,0.05
1227,0.97
8453,0.97
11393,0.97
593,0.05
11441,0.05
10590,0.05
6753,0.97
3405,0.05
10016,0.97
1748,0.97
2432,0.97
10901,0.97
5901,0.05
2947,0.05
1712,0.05
5773,0.97
4042,0.05
5138,0.05
4303,0.05
11588,0.05
10879,0.97
5312,0.97
11072,0.97
5673,0.97
2407,0.05
6782,0.97
6371,0.97
5391,0.05
10799,0.97
4414,0.97
4648,0.97
12151,0.05
8879,0.05
12000,0.97
11635,0.97
4322,0.97
3539,0.97
825,0.97
9136,0.05
11991,0.97
10202,0.05
2397,0.05
6557,0.97
5459,0.97
11383,0.97
7284,0.05
2487,0.05
6487,0.05
3098,0.05
9851,0.97
2987,0.97
107,0.05
11557,0.97
12382,0.97
6516,0.97
8265,0.05
3200,0.05
4129,0.05
9099,0.05
3579,0.97
5585,0.97
9129,0.97
2556,0.05
54,0.05
3830,0.05
2824,0.05
8511,0.97
1017,0.05
6642,0.97
6906,0.05
704,0.97
3946,0.97
9957,0.05
11484,0.97
1531,0.97
8888,0.05
7586,0.05
5217,0.97
8690,0.97
75,0.97
10137,0.05
2976,0.05
2350,0.05
9149,0.97
9835,0.05
6905,0.97
3268,0.05
816,0.97
67,0.97
4406,0.97
10324,0.05
2179,0.05
5616,0.97
752,0.97
7565,0.05
3091,0.97
2757,0.97
9415,0.05
2204,0.97
9603,0.97
9266,0.97
2664,0.05
11825,0.05
10561,0.97
2471,0.05
6996,0.97
6994,0.05
999,0.05
3805,0.97
5050,0.05
8480,0.05
11059,0.97
10853,0.97
1325,0.05
7475,0.97
9916,0.97
227,0.97
3021,0.97
1232,0.97
5352,0.97
6276,0.05
2242,0.97
200,0.97
10064,0.05
11959,0.97
12352,0.97
1052,0.97
1678,0.05
8127,0.05
9854,0.97
6432,0.05
7155,0.97
6195,0.05
5816,0.97
6601,0.97
1582,0.97
353,0.05
5695,0.05
3574,0.97
37,0.97
6460,0.97
11121,0.97
4824,0.05
2494,0.97
7726,0.97
5162,0.05
11821,0.05
6092,0.05
11496,0.97
6514,0.97
10541,0.97
1977,0.05
6376,0.05
3554,0.05
961,0.05
3344,0.97
7315,0.05
11194,0.97
6791,0.97
5687,0.97
7689,0.05
7370,0.05
1890,0.05
2328,0.97
12169,0.05
10921,0.05
8668,0.97
11331,0.05
10474,0.97
2158,0.97
11175,0.05
2462,0.05
2406,0.97
9457,0.05
12310,0.05
9523,0.05
2277,0.05
3787,0.97
11888,0.05
1567,0.05
1806,0.97
4471,0.05
6607,0.05
11447,0.05
11108,0.05
7663,0.05
7490,0.97
2975,0.05
283,0.05
3092,0.97
8598,0.05
64,0.97
7754,0.97
6139,0.97
10533,0.05
140,0.05
3943,0.97
7002,0.97
2745,0.05
7132,0.05
9800,0.05
8964,0.05
2160,0.05
1502,0.97
5587,0.05
10232,0.05
7035,0.97
8563,0.05
892,0.05
7029,0.97
6034,0.97
9267,0.05
3221,0.05
3862,0.05
1214,0.05
1642,0.05
6762,0.97
3206,0.97
5263,0.05
7247,0.05
7056,0.97
3699,0.05
8321,0.97
12150,0.97
3287,0.97
1698,0.97
72,0.05
12295,0.97
8169,0.05
7243,0.05
10959,0.97
5187,0.97
388,0.97
7885,0.97
9838,0.05
2754,0.97
5181,0.05
8215,0.97
11540,0.97
11867,0.05
12188,0.05
10038,0.97
11367,0.05
3849,0.05
3231,0.97
10434,0.97
3784,0.97
4842,0.05
4483,0.97
11178,0.97
7872,0.97
9060,0.97
2515,0.97
9074,0.97
12157,0.97
281,0.97
6647,0.05
7115,0.97
1250,0.05
1077,0.97
778,0.05
1365,0.97
9004,0.97
10059,0.97
12018,0.97
7523,0.05
4015,0.97
7414,0.97
8466,0.97
9432,0.97
8421,0.05
9234,0.97
285,0.97
477,0.05
5828,0.97
11268,0.05
1183,0.05
1114,0.97
4111,0.97
9336,0.97
9997,0.97
854,0.05
5906,0.05
12230,0.05
11969,0.97
10912,0.05
4240,0.05
5083,0.05
8023,0.05
4720,0.05
866,0.97
10759,0.05
4754,0.05
8934,0.05
11475,0.05
7025,0.05
1870,0.97
10888,0.05
11012,0.97
12400,0.05
1696,0.05
9740,0.05
12478,0.05
10429,0.05
6680,0.05
2574,0.97
11470,0.97
9122,0.97
112,0.97
6046,0.97
7022,0.97
853,0.97
8734,0.05
8123,0.97
8093,0.05
5284,0.97
743,0.97
3919,0.05
7585,0.97
1713,0.05
2939,0.97
8220,0.97
9919,0.97
10346,0.05
6982,0.97
6232,0.97
8263,0.05
4568,0.97
8164,0.05
10271,0.97
2744,0.05
2543,0.05
9241,0.05
11276,0.97
3300,0.05
4574,0.97
3589,0.97
9633,0.05
10056,0.05
2870,0.05
5022,0.05
7572,0.05
9712,0.05
4460,0.97
414,0.05
3237,0.05
1372,0.97
3976,0.97
8746,0.97
1378,0.97
2102,0.05
9070,0.05
4230,0.05
11996,0.97
4257,0.05
2283,0.97
2413,0.05
8336,0.97
2312,0.97
8687,0.05
2748,0.97
338,0.05
1997,0.05
3516,0.05
9291,0.05
10780,0.05
6757,0.05
188,0.05
3080,0.05
330,0.97
3756,0.05
1439,0.05
7198,0.97
7292,0.97
7552,0.05
6098,0.05
12312,0.05
9327,0.97
367,0.05
2197,0.05
5764,0.97
7821,0.97
9059,0.97
12028,0.97
7975,0.97
5537,0.05
11139,0.05
8316,0.97
47,0.97
9519,0.05
11942,0.97
9599,0.97
234,0.97
900,0.05
8633,0.97
1761,0.97
1942,0.97
8951,0.97
7837,0.05
3646,0.97
7549,0.97
7361,0.05
11338,0.05
10839,0.97
3828,0.05
10785,0.05
9390,0.97
8039,0.05
11001,0.05
9212,0.05
2427,0.97
8868,0.05
7431,0.97
12235,0.05
1888,0.97
11643,0.05
3627,0.05
9396,0.97
5297,0.97
2544,0.05
7453,0.05
8024,0.97
864,0.05
7834,0.97
8552,0.97
4368,0.97
7917,0.05
11417,0.05
6586,0.97
850,0.05
11282,0.05
10142,0.97
5547,0.05
1131,0.05
3525,0.97
7248,0.97
5752,0.97
6435,0.05
8920,0.97
12406,0.05
5354,0.05
8536,0.97
9643,0.97
4296,0.97
2028,0.97
12264,0.97
617,0.97
5678,0.05
4092,0.97
7949,0.05
5541,0.05
2466,0.05
11844,0.97
6386,0.05
349,0.97
2603,0.05
3872,0.97
350,0.05
6040,0.97
1560,0.97
4764,0.05
4156,0.97
7007,0.05
43,0.05
10328,0.97
4469,0.97
4325,0.05
1247,0.97
11695,0.05
10278,0.97
2022,0.97
id,label
.3559,0.97
.3212,0.97
.2855,0.05
.9422,0.05
.5571,0.97
.12199,0.05
.6003,0.05
.1801,0.97
.2367,0.05
.7540,0.05
.6316,0.05
.2863,0.97
.1713,0.05
.10710,0.05
.3736,0.97
.7519,0.05
.10698,0.05
.11952,0.97
.1530,0.97
